index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Abbeville,AL,,,,,,,41461.66666666666,42852.66666666666,41749.25,43111.0,45972.1,48086.8166
1,Abbeville,LA,,,,,76371.22222222223,78862.66666666669,79832.83333333331,84901.33333333331,92891.08333333331,94189.16666666669,92536.1,95497.2552
2,Abbeville,SC,,,,,64026.0,64306.33333333334,70072.08333333331,71653.91666666669,73305.33333333331,84137.83333333331,89768.2,93718.0008
3,Abbyville,KS,,,,39308.0,41925.333333333336,41221.91666666666,44839.91666666666,39088.75,45154.16666666666,52081.33333333334,45655.5,47299.098
4,Aberdeen,MD,174698.5,157645.66666666663,146801.16666666663,138208.41666666663,139956.25,128285.66666666669,127723.41666666669,126912.25,127529.75,127902.33333333331,130429.0,136298.305
5,Aberdeen,MS,,,70058.125,69847.75,68976.33333333331,75835.16666666669,79874.5,84074.0,88972.91666666669,91591.58333333331,92720.1,97912.42560000002
6,Aberdeen,NC,,,,,,,,,118841.5,110389.25,108477.9,114227.2287
7,Aberdeen,OH,,,90174.9,85439.16666666669,83670.58333333331,82170.08333333331,89984.83333333331,98292.66666666669,99399.91666666669,107460.66666666669,112244.9,117857.145
8,Aberdeen,SD,58442.0,59062.91666666666,59885.91666666666,62322.08333333334,66855.41666666669,70897.58333333331,75078.41666666669,79816.41666666669,83499.0,86387.25,87153.2,90377.8684
9,Aberdeen,WA,63784.5,59719.83333333334,58533.75,59394.16666666666,63059.0,69879.66666666669,80444.08333333331,86223.08333333331,94120.0,109204.5,121985.8,131500.6924
10,Abilene,KS,64486.6,63599.83333333334,64196.5,62319.91666666666,62322.41666666666,62230.5,63681.83333333334,64232.91666666666,67454.5,66090.75,66678.2,69612.0408
11,Abilene,TX,68797.83333333333,65107.48,67477.06666666668,68985.73333333332,72044.50000000003,73961.6,78857.6,80061.83333333334,84977.50000000001,93001.25000000001,96270.57999999999,100928.534
12,Abingdon,IL,,,,,,46171.3,48283.66666666666,50540.25,53286.58333333334,56028.25,57182.7,59584.3734
13,Abingdon,MD,188117.2,182240.0,177251.91666666663,190771.75,199777.0,197424.5,204391.25,203246.91666666663,196207.8333333333,189584.0,193180.7,202646.5543
14,Abingdon,VA,80575.45,78008.25000000001,77151.125,77709.33333333333,80167.79166666669,81246.83333333334,83146.79166666669,85836.29166666669,89378.875,92838.125,96237.2,100086.68800000001
15,Abington,MA,,,,,,148601.66666666663,150718.75,159406.91666666663,168462.16666666663,175479.91666666663,181603.5,191046.88199999998
16,Abington Township,PA,210301.75,194326.8333333333,151579.91666666666,155395.0,156251.3611111111,161152.47222222222,164179.33333333334,171766.22222222222,156280.6875,161784.1666666667,165301.85,173759.22285
