State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,240352.54130434775,238808.64673913032,239896.34184397163,243275.57857142852,247888.48633333333,255074.6483333333,256724.28431372548,258611.0179738562,257534.1135220126,266896.52044025157,275714.1188679246,292701.0930607843
AL,Alabama,118150.25137207416,112772.24786467379,108569.01341531494,108934.54763944121,109504.41763686774,111365.02490603222,113381.23751789547,115779.8105832873,120293.52402308806,125574.50396825414,130848.01161904755,137056.03719828554
AR,Arkansas,97675.0665642601,95936.56628242074,95530.87840182647,96874.24699134198,97364.0701306006,99058.69769217266,100969.47798781074,103933.5317722372,107441.83097256983,111845.9199159022,115202.76032110088,120398.66935737326
AZ,Arizona,173032.43855593598,155207.98141891905,157620.2547699214,180213.0295429208,195703.62141280354,201953.51577093854,213458.3498397437,225213.1013227513,239287.1507403276,253246.13046875,269696.45718749997,284435.72599906253
CA,California,377241.0094678608,359850.2585062693,353891.6237731013,404436.53257607645,455510.22286817763,486102.32580512384,523985.71243578225,558871.7701925025,608277.2403893912,621974.4944108757,640778.8369184289,672862.1218726111
CO,Colorado,242328.40648366016,231918.43677494227,231925.47123061685,241966.1462838679,258013.78215599695,279043.69946120714,303314.6255434429,323160.05635923136,345655.42623421707,364228.55052083335,374577.92604166665,392005.6100436058
CT,Connecticut,295902.5083950617,284754.36266139656,269121.373390558,271778.14908696525,277170.1508314858,280965.5039440205,281690.774781523,286953.5574282146,293965.2481273407,295982.1310861423,299776.28876404493,314221.5413992509
DC,DC,582704.5590909091,576950.1856060607,585191.9242424243,644850.590909091,702574.3409090908,733655.9545454546,762677.2424242423,794773.4128787878,820622.3825757577,857055.1931818182,882301.5590909093,921800.9563454546
DE,Delaware,244786.46885245893,227049.22089947085,214221.19179894173,211959.37830687832,220697.2711640211,226069.4166666666,243023.0572916666,248442.171875,254609.86718749997,262089.59635416672,266172.5343750001,279895.951371875
FL,Florida,181858.3729347825,168368.8976074398,165951.68919486433,182238.57019438423,202912.69441451158,220537.11483646266,237740.8767692849,252637.54900920016,266836.409361376,277576.8841463413,285781.1679745494,298695.17890975624
GA,Georgia,122530.49556327154,113548.23639716633,108878.07993410372,113672.38785460986,123479.54301359529,131096.5137550201,138793.67050066552,145630.01214144405,156546.44617283915,166363.58049382703,172505.09037037042,180179.09816261125
HI,Hawaii,560746.3115384615,495300.9201877934,483231.73051948054,497722.12337662326,519052.26847389556,539169.0913654617,558473.8995983937,584092.1957831326,605492.2821285139,618738.1094377514,630097.3192771084,654146.0857867472
IA,Iowa,108153.55746988638,106870.08895458675,106643.98105838076,106447.60368394737,107803.05259850612,109394.2098814229,113184.06966745369,117261.7235536191,120663.51603039949,124905.15473665603,128497.56436903485,133903.80256193
ID,Idaho,162839.86810035846,147916.82561327558,148234.73876967095,157533.11574074082,166287.06514968866,174246.88834688347,186153.12757697454,201318.71299999996,222694.5599867725,244946.30753968257,260952.47063492073,274728.586111952
IL,Illinois,142334.5390684052,133854.6892810486,129281.53104443235,130797.96331677196,135871.8993764217,138167.6973030341,141000.65621242052,144952.0006187655,148828.19407530458,151226.64991694374,152725.66586378738,159128.94101201033
IN,Indiana,106955.80315374507,104707.69208115192,104314.85032552095,105128.06565329882,107648.97766367141,111228.3272435898,114652.86528133015,119764.66558661571,127653.56639541894,135825.30917721518,142145.25797468342,148818.67656734446
KS,Kansas,115615.80203550658,113373.49252717389,112690.48426779319,112759.24496937885,113089.1370911783,115592.00268767371,116646.90611679238,118852.35761584924,122715.57243953132,127987.5451388888,132125.48968253966,138300.68064024122
KY,Kentucky,98692.4907553798,94746.85875823941,91270.32848121006,91303.81100908927,90091.53142338891,92509.99139702108,95795.86365953107,98626.41729629622,103332.02913141022,107411.92057101031,111102.1959004393,116587.3503183308
LA,Louisiana,129862.30212264154,126634.21394876498,127299.34683457196,128761.99946794363,130862.46885101005,134148.57639593913,138082.92477140485,141214.22673642376,144152.99605582532,146841.77690129436,150144.1560679611,156723.13182720574
MA,Massachusetts,372415.30394577596,364251.68586956506,355735.35828025447,376387.2555904958,396000.39126837486,412341.60829986626,427856.78122945444,449880.5230844797,475695.7039869282,488023.35000000015,499915.46039215644,521960.5213499018
MD,Maryland,271583.91037735867,258053.30125195617,249490.43126947046,257663.98091900302,266981.8967754468,268466.6868248456,270825.13317936874,279972.9195402299,289821.6471264366,296340.7153256704,300981.87517241365,314269.9771958621
ME,Maine,190648.1286184211,186569.5415890269,182770.80378865098,182110.50646464643,182142.35980981,183689.14424662048,186358.6990531084,191791.57492917843,198825.08818860888,206031.701680672,215311.56946778714,226009.91642062148
MI,Michigan,112546.0325527853,107785.92524309602,107276.46052916703,113692.3249211754,122816.18481054524,129429.43571163139,134788.33111537213,142214.67703992204,152018.55558124007,160184.07731031993,166362.896979504,174441.798503152
MN,Minnesota,146289.0817023444,138452.6960503472,135674.45152885435,142988.2682560137,151534.9239670423,156304.07325278097,163289.1899916248,172993.5832930299,183492.23341980617,191727.40674110825,198610.870719603,207475.20004819875
MO,Missouri,123366.79996226329,118299.71148325354,115965.03249158249,116800.25533468109,119215.42016971295,122824.12215909087,126924.77942969007,132073.21644275702,139192.69999044342,145885.55179663605,150719.11422018352,158373.7596138052
MS,Mississippi,106095.69705882359,101655.54182033098,100070.4709750567,98839.05593859163,98978.75468119014,99976.89288623193,102548.64861072018,105633.66418543235,108850.0495732028,113204.89652567985,116679.09184290044,122001.28433130695
MT,Montana,214640.06941287883,208609.68031135525,207577.55027173916,213979.94837281635,224798.68822553888,230325.4997821682,235897.507064472,245529.35282705084,256501.640485491,270753.17675781273,283314.1550781252,297140.7440913726
NC,North Carolina,152954.72105997204,146207.27049180318,141814.521473923,142200.76673378068,145543.2954342624,148922.67099737545,153805.26690663153,161109.18489991306,169865.89560241072,178446.74089726908,185597.41560468145,194938.66374915052
ND,North Dakota,119051.03860398862,122052.58130081302,124991.68045572,137169.71043956044,139501.96732418524,143490.32807017543,148366.3813844086,152946.33359173127,155371.40044283422,157767.09359903386,160232.80362318846,167012.3216560606
NE,Nebraska,116540.9861035526,114702.71225420517,114094.64176328504,116828.82064814813,120703.55506362321,124428.59495213229,128860.46255277978,135338.61427004446,142447.79287603922,150990.39909297053,156176.2850340137,163106.63889036674
NH,New Hampshire,233194.69595375718,229291.49953445076,222778.06010362692,228618.62159984026,234866.45674650653,240225.2109001407,247240.31891701836,259935.842436975,276247.78991596634,288499.66211484617,299536.3852941176,313375.12527142867
NJ,New Jersey,340278.60299065424,322312.37117283966,305237.5674676527,307655.12905102223,321151.5552519732,326148.95560606034,327283.3425595236,335693.94255952386,349712.4775297619,357243.084077381,363715.7214285711,381190.75000233814
NM,New Mexico,188570.87127192982,179061.69909665769,172909.6978036175,172365.0902228976,173509.73738095234,169198.65780952387,172839.86689814815,179047.65460405158,183872.27681159423,192805.76811594205,200796.29619565222,209339.3233234638
NV,Nevada,180372.68978102203,165909.4806763285,159960.1527777778,188479.54770531392,218525.85461630693,234272.20236406624,250921.234375,269846.15509259276,302876.14132420096,323171.0273972602,331768.60410958907,347385.23164
NY,New York,270745.37991857145,269891.97936343984,266343.61405055894,272556.7439367309,287591.6530037058,300682.8450971818,309390.9336141776,317308.8089152519,335123.8872042706,341917.7477880364,344649.5735141377,354507.32660052413
OH,Ohio,111279.99088714935,107086.83186497119,104431.43927999945,104646.12455402818,106894.88387143695,110317.41070396072,114265.88381548667,120028.60895273509,127383.16261592924,134812.01719238426,140705.59053708444,147737.23891400333
OK,Oklahoma,84469.652398524,83117.12357055958,83537.08804744518,85064.30894920428,87887.26441803196,91312.2016102863,94335.11933202174,97522.56066666661,100972.69711848444,104904.59710856534,109967.19983633382,115228.63920978448
OR,Oregon,221047.2454022989,205215.9500949666,199975.75451092114,213607.46246458925,229394.1753210777,243204.36657559205,263573.3976257211,284212.56924934086,302738.006056701,316322.8681271476,326738.8136597937,343253.09222098434
PA,Pennsylvania,153964.32427844813,147987.77749244313,142964.52470417513,143701.37597906377,145802.80465334898,147695.55425516996,149314.95478106532,153354.89095801592,159879.00155594747,165544.54743268667,170928.80713838473,179896.08405006368
RI,Rhode Island,276480.80657894746,265495.52850877185,250229.7631578947,254374.93530701753,266373.7763157895,269786.6315789474,281431.3782894736,297731.7149122806,317285.93640350865,326242.3146929825,337772.42894736864,353541.159775
SC,South Carolina,144647.24166666664,136592.3795438392,131848.34906588006,131862.4350513808,134344.31397567212,137142.78210369276,142145.3830874741,147328.23257777782,154363.26333919677,162200.36983289354,168192.67308707128,176753.34684213327
SD,South Dakota,145163.42891566266,145380.30411877396,143572.8237847222,143187.2620779221,145864.34858926077,152716.30262237758,157164.95148380354,165100.09208080798,169812.28855820108,177235.36059670776,182054.4728395062,189859.75522264146
TN,Tennessee,119506.8578125001,116401.53422876947,115050.96496539793,117379.92863311128,122017.199281609,127082.8346723647,135097.14234926054,143961.13032367965,153904.39177856664,162472.54881154478,170701.30764006797,179378.38749149648
TX,Texas,133007.37897945155,129901.69705882338,129954.78015442559,135813.53532523062,145580.65320879844,155820.06848422374,166010.817092437,175945.00712850207,184868.66687420188,193766.33461047235,199986.33122605368,209271.1402013484
UT,Utah,192752.35268817202,182129.8075837742,180991.6737046632,196152.84715025907,209018.19699312723,217624.85395189005,231831.5034798533,249663.53553299475,272429.8393939395,293845.38299663295,308485.1267676769,324618.4385030302
