State,State_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,Alaska,182397.95769230768,180882.82371794872,181886.72435897437,182993.78086419753,187345.85493827157,190835.88452380945,193247.90517241383,192514.80459770115,192812.76436781607,199254.00574712642,206671.66206896547,215698.35382068963
AL,Alabama,142310.19128205127,137687.86111738507,130430.34520014623,131874.9262820513,129774.25652253242,133439.20916666667,134547.6362007169,139014.17689504373,146988.38205128213,153217.80689102563,158665.80673076928,166184.61892019238
AR,Arkansas,117022.8212121212,115925.64259259262,114437.56884057976,115856.42755825732,117332.71099290777,119434.98499999999,124222.72468885286,129572.53422619046,128869.52615740741,134036.92083333334,138928.8866666667,145632.27027166667
AZ,Arizona,132849.14279026215,115043.70036231875,112975.94225938138,128222.16151202752,138554.67015993275,143104.98307656407,149674.74494466197,159029.25275157226,172028.5801886792,184006.0829402516,197414.56981132072,208528.57238443402
CA,California,326999.50988509227,304667.24886799033,294866.8730472765,337153.18008852995,383238.3337953798,407960.3749696541,438348.90187074756,464740.3761164526,506833.5331739962,516674.31158381165,528353.9310707451,554361.7810983746
CO,Colorado,180058.86059113298,171301.01973114608,170429.3600387598,180104.87954545455,192454.53431372542,210281.90373692065,231757.4625925925,253450.98023598848,274747.65994152037,289801.4334795322,297223.4530701756,310578.0958157896
CT,Connecticut,210498.04761904775,200594.997039627,186699.8128881988,186214.87722222233,195610.84483378255,204205.8976225321,216347.64727710234,221189.53389175257,221374.27657527666,221722.24368686887,223113.15101010105,233850.60589646475
DC,DC,335314.0,333930.63888888893,332258.3253968254,355715.6428571429,374413.78968253965,380853.74206349207,387600.869047619,388243.33712121216,397786.5378787879,406373.45454545453,417206.5,435689.67135
DE,Delaware,201541.17142857143,189812.52117117122,176805.00307017541,190201.24270833333,194436.8083333333,196629.3673318551,198897.5508130082,200085.15650406506,205162.7886178862,213310.31300813006,220736.5902439024,232575.63110975613
FL,Florida,136485.2789894679,125368.98501501915,123126.01116935663,134064.57560621158,147738.91668007508,159398.4964125611,169728.09659361086,178879.14921452475,187032.31844205948,194513.8020833332,199095.74861111087,208011.4433594448
GA,Georgia,135138.16242619435,123182.78351387946,115771.2672601009,119337.43756145521,130047.4552536232,137108.07234042548,144041.0338721947,152010.15843939385,162621.00514174538,172418.77561608306,178585.8256809338,187030.57465369653
HI,Hawaii,369406.8903225807,403301.58449074073,373630.0122354498,386122.28901515156,406283.94820261456,428030.1383647799,441492.9760802469,464395.51090909087,474573.311111111,486439.67543859663,492252.5736842106,510415.35219298245
IA,Iowa,133808.97216748766,130954.75178062682,131069.07923497264,131162.11145833333,133505.66033997526,136223.97575268813,139477.45768207283,142030.92846320345,146011.9525509179,150236.90961857382,153904.57562189052,160447.48281592035
ID,Idaho,155460.21162790697,140196.33260869564,142574.82624113472,155472.7928262214,167734.45392156867,185633.70709876547,196678.9532163742,209369.3751412429,230450.14371584702,254500.88934426225,274815.98688524595,290067.7378163934
IL,Illinois,157580.37727016362,143861.17218076286,131466.6375427796,131358.53919239904,138325.02151757898,143633.20665459728,148678.07476694387,154567.9822985959,160183.63351688694,163400.19915565354,165163.16629955935,171905.29523722472
IN,Indiana,129498.9172588832,126272.75888324871,123678.19835796385,124324.21998381882,127704.55162337665,133227.52754177284,137069.20756880732,143436.83489583337,151112.5190399571,158919.66002949848,165395.78141592923,173551.1302938054
KS,Kansas,141920.8281609195,135986.31388888886,133084.34569892474,134150.72751322752,136735.51305970148,134550.19987546702,140811.92579908678,143740.101864035,150742.31140350876,156873.78289473685,161873.88421052633,169552.9064039474
KY,Kentucky,134556.98068181818,128938.71147342992,125786.70987240835,125691.79518900342,127805.51078107808,129352.71584249084,133862.0184876286,137659.29203216376,144878.86956521744,150222.94710144936,155120.75304347824,162058.45381043482
LA,Louisiana,143262.5158730159,138231.4033816425,134484.3544600939,136410.93550637958,138615.8702991453,142008.73331415417,143077.30060240964,145195.30156862744,144803.14831460675,144056.87265917604,144586.06741573033,150756.44846741573
MA,Massachusetts,289956.6023607177,279337.27824745275,270825.4955181845,282388.69249903655,298987.27971623436,311389.4853834338,323450.6359564163,339717.6952495973,358289.8284489634,369014.2115231261,377021.5009569381,394157.5436516747
MD,Maryland,218293.95154639185,204517.69232348108,194695.3579638752,197522.5871610846,203513.45548817006,204697.76847918436,206221.88556067584,213017.9175453162,221653.44155064164,227201.7698948949,232025.14504504504,242426.63009324326
ME,Maine,214099.59180327866,204479.64598290596,195679.82953834126,201469.83025525525,205741.332977208,207765.88816872422,213125.86568627448,221023.0021156005,231098.3446236559,239166.1729390681,251872.7903225807,264254.34495268826
MI,Michigan,143611.22584229396,136102.58408854908,137019.4544313618,147449.00658500116,159880.5852011962,166447.57410179928,175158.5321843527,185865.52288719942,197224.73550204412,206313.86984126995,212056.91190476198,221431.06974688996
MN,Minnesota,142491.8676518884,131431.68699186982,124393.96374407593,133270.9861889927,142928.14616402116,148482.0970219323,154642.15772148798,164100.9220223979,175797.95894134472,183305.22424892714,190534.37467811158,199143.82395794004
MO,Missouri,134937.24543956047,130936.67167408933,125581.22218364198,125177.69585304323,126925.02310126583,130508.02213433036,134247.97885319803,137995.67674026772,143935.45953777415,150243.23476702505,154933.49354838702,162896.86473567566
MS,Mississippi,126984.60782312925,122395.89087301586,119694.80555555553,119194.66931818183,124321.42460317459,125980.33163265306,126369.5975935829,134875.76363636364,138431.23636363633,141740.45,145995.24727272725,152606.77470181818
MT,Montana,206438.1150537635,197286.50156250002,196363.265625,199562.2810457516,205393.12009803925,213334.8952380952,218536.06944444444,227119.05324074067,240753.1144144144,254746.37837837837,266461.3432432433,279971.13438378373
NC,North Carolina,150793.01714677646,142695.756824147,138106.07728442724,139134.05133018256,142473.69919971775,145853.8058663559,150775.04178009846,157922.5126888564,168102.8360389609,177251.3520021644,184703.38474025976,193876.48836416923
ND,North Dakota,116651.45,119426.69642857145,123830.41777777778,136350.6822916667,139011.17407407408,148429.0277777778,152367.0787037037,153863.76851851854,154885.49537037036,155635.5046296296,157087.64444444448,162841.52913888887
NE,Nebraska,137980.89589743593,131482.62661691546,129906.28308823527,134560.7671568628,138677.40073529413,144237.93091787442,150686.2104890605,160711.89526823384,169947.6855967078,177324.14403292182,184426.5790123457,192925.93738641977
NH,New Hampshire,202558.11263157893,197518.30612244905,188283.4441217732,191254.41702681073,195839.5869047619,200566.206870229,204975.73211678836,216326.279047619,228468.94858156034,238928.8989361702,248715.7886524823,260608.15118652472
NJ,New Jersey,283656.778181818,269803.39076436864,256280.55814285722,257648.26181108176,263837.1525949369,266625.1807444292,266126.47109164397,268788.40683328296,277385.0514176248,282368.067624521,286634.9687356321,299775.0836525343
NM,New Mexico,154820.6736842105,146314.00894308943,143059.11788617886,142620.56910569101,147372.19888888884,146965.4014184397,149987.40780141848,155320.12755102036,159813.12595238094,169103.92833333334,176821.92599999998,185566.371326
NV,Nevada,120294.91226890756,108740.0834726576,104167.07765151514,122593.13576779027,140736.76591760296,150626.60055555555,162466.35833333328,174884.51851851854,202845.25384615385,220544.98443223446,227859.27252747258,238283.33981538465
