RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10025,10286,NY,4198295.3,4638554.0,4354406.666666667,4050293.583333334,3981625.25,4075831.916666666,4297538.5,4298976.833333333,3626147.833333334,3635905.0,3612141.3,3691608.4086
60657,2625,IL,,,1096833.9090909092,1183928.25,1320273.0,1411386.166666667,1480418.416666667,1510561.416666667,1518004.833333333,1504610.166666667,1497904.7,1557820.888
10023,10286,NY,,,,,,,11896026.777777778,10800303.166666666,9583885.75,9030904.25,8592150.1,8961612.554299999
77494,7325,TX,383071.5,372977.83333333326,377648.75,400827.58333333326,444793.5,470578.08333333326,468191.25,462419.08333333326,465727.25,466528.0,470208.3,487606.00709999993
60614,2625,IL,1558977.0,1508608.666666667,1432363.583333333,1533350.416666667,1694507.25,1818495.833333333,1911866.5,1981652.583333333,2002619.833333333,1979905.666666667,1950895.1,2023078.2187
77449,7325,TX,156298.7,149009.16666666663,148370.5,160414.5,178695.83333333337,195419.16666666663,206405.3333333333,213501.16666666663,219061.66666666663,225265.16666666663,232086.4,242762.3744
77084,6806,TX,180133.9,173407.08333333337,172669.0,183872.25,203177.25,223086.3333333333,233200.16666666663,237081.25,241295.66666666663,245723.66666666663,252067.1,263914.2537
79936,4320,TX,265129.5,259562.08333333328,254958.08333333328,253982.83333333328,253387.16666666663,251484.5,250890.33333333328,257779.41666666663,261274.75,273594.5,279758.6,291508.4612
60640,2625,IL,997535.9,914812.5833333335,812730.9166666665,867181.8333333335,960801.5833333335,1039324.75,1085388.583333333,1104847.75,1137845.916666667,1164298.0,1155632.6,1206480.4344
11226,10286,NY,783420.5,794378.3333333335,839360.6666666665,889860.5,1000200.1666666665,1171087.083333333,1359545.333333333,1482707.416666667,1517578.583333333,1579522.083333333,1596029.0,1645505.899
10467,10286,NY,447065.3,404260.41666666674,382015.75,387158.33333333326,408066.33333333326,428501.16666666674,476539.25,526858.0,593016.0,643627.0,682790.1,712832.8644
78660,11408,TX,253507.2,248748.91666666663,253623.5,262516.08333333326,285386.58333333326,303100.41666666674,322664.08333333326,333402.08333333326,344673.91666666674,349353.16666666674,360820.5,380665.6275
94109,12921,CA,3088875.8,3146708.916666666,3416839.916666666,3948665.833333334,4412574.416666667,5125017.583333333,5461060.75,5704738.583333332,6304995.5,7016554.75,7217738.5,7484794.824499999
10016,10286,NY,,,4113665.666666666,4271301.416666667,4514802.583333333,5212145.833333333,6263577.75,6235979.166666668,6362488.25,6939167.75,7692007.6,7815079.7216
37013,10040,TN,196037.7,189328.91666666663,182076.5,189926.8333333333,198475.0,213514.3333333333,234918.16666666663,261461.08333333328,287896.83333333326,299650.0,313412.4,328456.1952
32162,14386,FL,488963.7,490947.33333333326,496220.66666666674,528174.0,600287.1666666665,634135.3333333335,619567.8333333335,634773.8333333335,659538.9166666665,690286.1666666665,713829.2,748093.0016
60647,2625,IL,608029.4,543519.4166666665,534260.3333333335,569073.4166666665,614518.4166666665,675705.5833333335,725682.0833333335,756419.0833333335,770200.0833333335,788580.0,811627.2,852208.5599999998
11201,10286,NY,2944541.1,3058345.5,3164561.666666666,3358149.583333333,3727326.416666666,4392364.5,4670481.5,4846604.75,4866939.5,4871702.25,4711931.5,4829729.7875
11235,10286,NY,755189.2,767522.0,776128.9166666665,815205.9166666665,835713.0,900444.75,977664.3333333335,1043766.0833333335,1124827.333333333,1163549.0,1163310.2,1195882.8856
