RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10025,4106,NY,948754.5,992798.5,1002068.0833333335,1062731.5,1197937.333333333,1304743.333333333,1388723.0,1366847.083333333,1339411.833333333,1370234.916666667,1221575.1,1248449.7522000002
60657,1036,IL,361499.7,338924.5,322068.08333333326,338746.33333333326,368119.41666666674,375001.08333333326,384187.91666666674,399303.0,407254.08333333326,405123.75,401198.4,417246.336
10023,4106,NY,798311.2,847427.4166666665,880652.8333333335,930487.75,1044077.0833333335,1124885.333333333,1191380.916666667,1192141.75,1178086.166666667,1112822.333333333,1124905.9,1173276.8537
77494,2857,TX,150394.2,147514.58333333337,146576.41666666663,152289.41666666663,169794.25,188592.66666666663,193329.0,191697.8333333333,191740.5833333333,200155.8333333333,203449.8,210977.4426
60614,1036,IL,400756.1,379448.0,363277.75,383481.58333333326,420164.08333333326,430805.66666666674,444307.75,458270.5,464034.58333333326,459381.08333333326,453753.4,470542.2758
77449,2857,TX,128115.3,124203.58333333331,121471.91666666669,138472.0,144884.0,149751.91666666663,163494.5,181195.91666666663,183775.5,180169.3333333333,192218.1,201060.1326
10002,4106,NY,688230.4,716568.0833333335,734238.1666666665,774141.0,847612.8333333335,917766.3333333335,932500.1666666665,887174.75,838179.5,901265.5,955919.2,978861.2608
77084,2658,TX,80602.0,76436.5,74427.91666666669,79926.83333333331,91032.66666666669,100944.08333333331,107318.41666666669,115058.08333333331,122240.83333333331,130327.91666666669,133799.5,140088.0765
79936,1698,TX,111576.3,111001.91666666669,109109.0,109316.0,110095.91666666669,110967.33333333331,110830.75,114241.75,116066.16666666669,121598.16666666669,124025.7,129234.7794
60640,1036,IL,244942.1,220582.91666666663,198633.8333333333,207751.75,229982.25,235826.91666666663,243950.08333333328,257885.58333333328,266393.66666666674,269398.58333333326,272866.7,284872.8348
